SEQ='HE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  35708278.8   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  68948754.9   NLVL= 127
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
             3.25E-15  9.41E-16  3.51E-16  1.28E-16  3.29E-17  1.17E-17  4.15E-18  1.05E-18  3.73E-19
    48       8.83E-13  6.22E-13  3.90E-13  2.71E-13  1.86E-13  1.08E-13  6.78E-14  3.94E-14  1.66E-14  7.67E-15
             3.25E-15  9.41E-16  3.51E-16  1.28E-16  3.29E-17  1.17E-17  4.15E-18  1.05E-18  3.73E-19
    49       1.08E-12  7.60E-13  4.76E-13  3.32E-13  2.27E-13  1.32E-13  8.28E-14  4.81E-14  2.03E-14  9.37E-15
             3.97E-15  1.15E-15  4.29E-16  1.56E-16  4.02E-17  1.43E-17  5.08E-18  1.29E-18  4.55E-19
    50       5.32E-13  3.76E-13  2.38E-13  1.68E-13  1.19E-13  7.47E-14  5.24E-14  3.66E-14  2.24E-14  1.51E-14
             9.97E-15  5.45E-15  3.27E-15  1.85E-15  7.90E-16  3.85E-16  1.77E-16  5.84E-17  2.40E-17
    51       1.94E-13  1.37E-13  8.64E-14  6.10E-14  4.30E-14  2.69E-14  1.87E-14  1.28E-14  7.46E-15  4.71E-15
             2.80E-15  1.25E-15  6.21E-16  2.84E-16  9.09E-17  3.61E-17  1.37E-17  3.69E-18  1.33E-18
    52       1.74E-13  1.23E-13  7.79E-14  5.51E-14  3.89E-14  2.45E-14  1.72E-14  1.20E-14  7.38E-15  5.00E-15
             3.30E-15  1.81E-15  1.09E-15  6.15E-16  2.63E-16  1.28E-16  5.90E-17  1.95E-17  7.99E-18
    53       5.80E-13  4.10E-13  2.59E-13  1.83E-13  1.29E-13  8.06E-14  5.61E-14  3.84E-14  2.24E-14  1.41E-14
             8.40E-15  3.76E-15  1.86E-15  8.52E-16  2.73E-16  1.08E-16  4.12E-17  1.11E-17  4.00E-18
    54       9.64E-13  6.81E-13  4.30E-13  3.04E-13  2.14E-13  1.34E-13  9.32E-14  6.39E-14  3.72E-14  2.35E-14
             1.40E-14  6.26E-15  3.10E-15  1.42E-15  4.54E-16  1.80E-16  6.87E-17  1.84E-17  6.67E-18
    55       5.85E-13  4.13E-13  2.61E-13  1.84E-13  1.29E-13  7.96E-14  5.42E-14  3.58E-14  1.91E-14  1.09E-14
             5.66E-15  2.07E-15  8.82E-16  3.52E-16  9.76E-17  3.58E-17  1.29E-17  3.31E-18  1.17E-18
